Time,Temp,SoC,DoD,C,V,R0
120675277.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
120677368.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
120678947.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
120725641.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
120758517.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
120765814.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
120823143.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
120847684.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
120902645.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
120931159.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121176959.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121180747.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121182064.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121217360.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121279178.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121373184.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121378484.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121447540.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121448597.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121449582.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121450214.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121464253.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121466588.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121525620.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121539694.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121685825.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121689863.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121719923.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121792213.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121797358.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121798794.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121855515.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121871959.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121937849.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121954508.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
121974580.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122027330.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122042408.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122047841.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122081238.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122137837.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122207405.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122233572.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122317037.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122319407.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122732587.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122734516.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122775651.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122821211.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122836292.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122987698.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
122989902.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123161820.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123240354.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123267583.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123280199.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123430540.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123434409.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123512615.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123513190.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
